4396,2916
4192,3040
3900,3164
3504,3296
3000,3384
2432,3408
1860,3360
1380,3244
1004,3108
720,2980
516,2872
4468,2540
4276,2628
3996,2728
3596,2828
3064,2900
2440,2928
1816,2884
1308,2792
920,2692
656,2600
456,2516
4496,2136
4308,2172
4036,2212
3648,2252
3104,2296
2452,2300
1808,2280
1280,2252
888,2204
620,2164
424,2124
4472,1724
4288,1704
4008,1680
3616,1660
3088,1644
2444,1632
1808,1648
1300,1672
908,1684
632,1708
444,1724
4400,1332
4204,1272
3932,1196
3544,1128
3040,1068
2448,1060
1856,1080
1356,1140
976,1216
704,1291
500,1348
4304,996
4088,900
3796,800
3428,700
2960,632
2436,612
1916,640
1452,720
1076,816
804,912
855,1012
4168,700
3956,596
3672,484
3320,392
2900,320
2432,296
1972,328
1548,400
1200,496
920,608
696,716
